"scenario","method","accuracy_pct","accuracy_mcse_pct","mean_patients","sd_patients","mean_dlts","overdose_pct","true_dlt","rule"
"<1","Original BOLD",39.77,0.489422833549887,12.6897,5.17927566360792,6.0855,100,"0.45, 0.50, 0.55, 0.60","gamma=.90 all doses; tau=.50; Beta(.9,2.1)"
"<1","Experimental BOLD",51.9,0.499638869584823,11.178,4.7279965519378,5.1742,100,"0.45, 0.50, 0.55, 0.60","gamma1=.85, others=.90; tau=.50 then .49 after any DLT"
"<1","BOIN",61.15,0.487409222317346,8.92859999999999,5.69652061127727,4.1257,100,"0.45, 0.50, 0.55, 0.60","gamma=.90 all doses"
"1","Original BOLD",44.33,0.496774707488213,15.8196,3.74088963557168,6.1675,56.8212849882424,"0.30, 0.40, 0.50, 0.60","gamma=.90 all doses; tau=.50; Beta(.9,2.1)"
"1","Experimental BOLD",47.26,0.499248675511513,14.7249,3.98951270347172,5.1841,41.8535949310352,"0.30, 0.40, 0.50, 0.60","gamma1=.85, others=.90; tau=.50 then .49 after any DLT"
"1","BOIN",47.06,0.499134891587434,12.6396,5.66110560329549,4.4023,37.5652710528814,"0.30, 0.40, 0.50, 0.60","gamma=.90 all doses"
"2","Original BOLD",44.56,0.497031829966653,17.667,1.14036881933179,5.4507,41.3567668534556,"0.10, 0.30, 0.40, 0.50","gamma=.90 all doses; tau=.50; Beta(.9,2.1)"
"2","Experimental BOLD",46.64,0.498869762563337,17.3304,1.4709358263435,4.685,26.3571527489267,"0.10, 0.30, 0.40, 0.50","gamma1=.85, others=.90; tau=.50 then .49 after any DLT"
"2","BOIN",42.38,0.494159447951772,16.6404,2.85788463561053,4.1639,21.8378163986443,"0.10, 0.30, 0.40, 0.50","gamma=.90 all doses"
"3","Original BOLD",48.06,0.49962349824643,17.9802,0.257321941268414,4.3068,29.0486201488304,"0.05, 0.10, 0.30, 0.40","gamma=.90 all doses; tau=.50; Beta(.9,2.1)"
"3","Experimental BOLD",49.03,0.499905901145406,17.9556,0.406749535363521,3.8241,17.3611575218873,"0.05, 0.10, 0.30, 0.40","gamma1=.85, others=.90; tau=.50 then .49 after any DLT"
"3","BOIN",40.27,0.490441342058355,17.7435,1.45805361425222,3.4937,14.0434525319131,"0.05, 0.10, 0.30, 0.40","gamma=.90 all doses"
"4","Original BOLD",60.64,0.488547889157245,17.9811,0.252089557329299,3.4643,0,"0.05, 0.10, 0.20, 0.30","gamma=.90 all doses; tau=.50; Beta(.9,2.1)"
"4","Experimental BOLD",57.37,0.49453848181916,17.952,0.438309492848581,3.0788,0,"0.05, 0.10, 0.20, 0.30","gamma1=.85, others=.90; tau=.50 then .49 after any DLT"
"4","BOIN",50.83,0.499931105253514,17.7546,1.40498264673406,2.8998,0,"0.05, 0.10, 0.20, 0.30","gamma=.90 all doses"
">4","Original BOLD",93.49,0.246702229418382,17.9976,0.0948427093347212,1.8589,0,"0.03, 0.05, 0.10, 0.15","gamma=.90 all doses; tau=.50; Beta(.9,2.1)"
">4","Experimental BOLD",90.15,0.297989513238302,17.9934,0.1528357807504,1.7449,0,"0.03, 0.05, 0.10, 0.15","gamma1=.85, others=.90; tau=.50 then .49 after any DLT"
">4","BOIN",85.34,0.353706714666261,17.9241,0.826321650900538,1.717,0,"0.03, 0.05, 0.10, 0.15","gamma=.90 all doses"
