"scenario","method","dose","mean_patients"
"S1","BOLD","Dose 1",6.9045
"S1","BOLD","Dose 2",4.9275
"S1","BOLD","Dose 3",2.8026
"S1","BOLD","Dose 4",1.2063
"S1","BOLD-exp","Dose 1",8.6142
"S1","BOLD-exp","Dose 2",4.6632
"S1","BOLD-exp","Dose 3",1.3038
"S1","BOLD-exp","Dose 4",0.1332
"S1","BOIN","Dose 1",7.8906
"S1","BOIN","Dose 2",3.7806
"S1","BOIN","Dose 3",0.9051
"S1","BOIN","Dose 4",0.117
"S1","iBOIN","Dose 1",7.8906
"S1","iBOIN","Dose 2",3.7806
"S1","iBOIN","Dose 3",0.9051
"S1","iBOIN","Dose 4",0.117
"S2","BOLD","Dose 1",4.7682
"S2","BOLD","Dose 2",6.1509
"S2","BOLD","Dose 3",4.4481
"S2","BOLD","Dose 4",2.1474
"S2","BOLD-exp","Dose 1",5.9985
"S2","BOLD-exp","Dose 2",7.1358
"S2","BOLD-exp","Dose 3",3.4473
"S2","BOLD-exp","Dose 4",0.5304
"S2","BOIN","Dose 1",6.6414
"S2","BOIN","Dose 2",6.4587
"S2","BOIN","Dose 3",2.5347
"S2","BOIN","Dose 4",0.4008
"S2","iBOIN","Dose 1",6.6414
"S2","iBOIN","Dose 2",6.4587
"S2","iBOIN","Dose 3",2.5347
"S2","iBOIN","Dose 4",0.4008
"S3","BOLD","Dose 1",3.1899
"S3","BOLD","Dose 2",4.4418
"S3","BOLD","Dose 3",5.5605
"S3","BOLD","Dose 4",4.7472
"S3","BOLD-exp","Dose 1",3.6474
"S3","BOLD-exp","Dose 2",5.556
"S3","BOLD-exp","Dose 3",6.0219
"S3","BOLD-exp","Dose 4",2.6328
"S3","BOIN","Dose 1",4.1403
"S3","BOIN","Dose 2",6.06
"S3","BOIN","Dose 3",5.2383
"S3","BOIN","Dose 4",2.1522
"S3","iBOIN","Dose 1",4.1403
"S3","iBOIN","Dose 2",6.06
"S3","iBOIN","Dose 3",5.2383
"S3","iBOIN","Dose 4",2.1522
"S4","BOLD","Dose 1",3.1011
"S4","BOLD","Dose 2",3.5055
"S4","BOLD","Dose 3",4.4757
"S4","BOLD","Dose 4",6.8979
"S4","BOLD-exp","Dose 1",3.5505
"S4","BOLD-exp","Dose 2",4.3587
"S4","BOLD-exp","Dose 3",5.3748
"S4","BOLD-exp","Dose 4",4.6716
"S4","BOIN","Dose 1",3.7629
"S4","BOIN","Dose 2",4.8183
"S4","BOIN","Dose 3",5.1408
"S4","BOIN","Dose 4",4.0215
"S4","iBOIN","Dose 1",3.7629
"S4","iBOIN","Dose 2",4.8183
"S4","iBOIN","Dose 3",5.1408
"S4","iBOIN","Dose 4",4.0215
"S5","BOLD","Dose 1",3.1032
"S5","BOLD","Dose 2",3.3786
"S5","BOLD","Dose 3",3.756
"S5","BOLD","Dose 4",7.7433
"S5","BOLD-exp","Dose 1",3.561
"S5","BOLD-exp","Dose 2",4.2684
"S5","BOLD-exp","Dose 3",4.6503
"S5","BOLD-exp","Dose 4",5.4723
"S5","BOIN","Dose 1",3.732
"S5","BOIN","Dose 2",4.428
"S5","BOIN","Dose 3",4.4346
"S5","BOIN","Dose 4",5.16
"S5","iBOIN","Dose 1",3.732
"S5","iBOIN","Dose 2",4.428
"S5","iBOIN","Dose 3",4.4346
"S5","iBOIN","Dose 4",5.16
"S6","BOLD","Dose 1",8.1483
"S6","BOLD","Dose 2",3.0711
"S6","BOLD","Dose 3",1.0713
"S6","BOLD","Dose 4",0.2556
"S6","BOLD-exp","Dose 1",9.0336
"S6","BOLD-exp","Dose 2",1.8702
"S6","BOLD-exp","Dose 3",0.2028
"S6","BOLD-exp","Dose 4",0.0057
"S6","BOIN","Dose 1",7.2777
"S6","BOIN","Dose 2",1.3893
"S6","BOIN","Dose 3",0.1383
"S6","BOIN","Dose 4",0.0051
"S6","iBOIN","Dose 1",7.2777
"S6","iBOIN","Dose 2",1.3893
"S6","iBOIN","Dose 3",0.1383
"S6","iBOIN","Dose 4",0.0051
"S7","BOLD","Dose 1",3.8721
"S7","BOLD","Dose 2",4.1037
"S7","BOLD","Dose 3",4.1037
"S7","BOLD","Dose 4",5.5857
"S7","BOLD-exp","Dose 1",5.2716
"S7","BOLD-exp","Dose 2",5.4384
"S7","BOLD-exp","Dose 3",4.2291
"S7","BOLD-exp","Dose 4",2.4471
"S7","BOIN","Dose 1",5.4681
"S7","BOIN","Dose 2",5.1111
"S7","BOIN","Dose 3",3.5697
"S7","BOIN","Dose 4",2.1594
"S7","iBOIN","Dose 1",5.4681
"S7","iBOIN","Dose 2",5.1111
"S7","iBOIN","Dose 3",3.5697
"S7","iBOIN","Dose 4",2.1594
"S9","BOLD","Dose 1",5.5563
"S9","BOLD","Dose 2",3.7719
"S9","BOLD","Dose 3",3.0342
"S9","BOLD","Dose 4",3.7287
"S9","BOLD-exp","Dose 1",7.7982
"S9","BOLD-exp","Dose 2",4.1901
"S9","BOLD-exp","Dose 3",2.0379
"S9","BOLD-exp","Dose 4",0.8136
"S9","BOIN","Dose 1",7.0059
"S9","BOIN","Dose 2",3.4995
"S9","BOIN","Dose 3",1.6146
"S9","BOIN","Dose 4",0.7512
"S9","iBOIN","Dose 1",7.0059
"S9","iBOIN","Dose 2",3.4995
"S9","iBOIN","Dose 3",1.6146
"S9","iBOIN","Dose 4",0.7512
"S10","BOLD","Dose 1",3.0525
"S10","BOLD","Dose 2",3.0528
"S10","BOLD","Dose 3",3.0522
"S10","BOLD","Dose 4",8.8368
"S10","BOLD-exp","Dose 1",3.5607
"S10","BOLD-exp","Dose 2",3.4995
"S10","BOLD-exp","Dose 3",3.4755
"S10","BOLD-exp","Dose 4",7.4454
"S10","BOIN","Dose 1",3.5643
"S10","BOIN","Dose 2",3.4728
"S10","BOIN","Dose 3",3.4116
"S10","BOIN","Dose 4",7.3791
"S10","iBOIN","Dose 1",3.5643
"S10","iBOIN","Dose 2",3.4728
"S10","iBOIN","Dose 3",3.4116
"S10","iBOIN","Dose 4",7.3791
