"scenario","method","selection","selection_pct"
"S1","BOLD","No MTD",10.65
"S1","BOLD","Dose 1",45.64
"S1","BOLD","Dose 2",31.03
"S1","BOLD","Dose 3",11.14
"S1","BOLD","Dose 4",1.54
"S1","BOLD-exp","No MTD",12.65
"S1","BOLD-exp","Dose 1",51.07
"S1","BOLD-exp","Dose 2",27.62
"S1","BOLD-exp","Dose 3",7.87
"S1","BOLD-exp","Dose 4",0.79
"S1","BOIN","No MTD",26.8
"S1","BOIN","Dose 1",47.99
"S1","BOIN","Dose 2",19.74
"S1","BOIN","Dose 3",4.59
"S1","BOIN","Dose 4",0.88
"S1","iBOIN","No MTD",26.8
"S1","iBOIN","Dose 1",49.12
"S1","iBOIN","Dose 2",18.7
"S1","iBOIN","Dose 3",4.6
"S1","iBOIN","Dose 4",0.78
"S2","BOLD","No MTD",0.92
"S2","BOLD","Dose 1",19.59
"S2","BOLD","Dose 2",49.72
"S2","BOLD","Dose 3",26.86
"S2","BOLD","Dose 4",2.91
"S2","BOLD-exp","No MTD",1.12
"S2","BOLD-exp","Dose 1",21.04
"S2","BOLD-exp","Dose 2",49.5
"S2","BOLD-exp","Dose 3",25.6
"S2","BOLD-exp","Dose 4",2.74
"S2","BOIN","No MTD",6.34
"S2","BOIN","Dose 1",31.51
"S2","BOIN","Dose 2",43.33
"S2","BOIN","Dose 3",16.23
"S2","BOIN","Dose 4",2.59
"S2","iBOIN","No MTD",6.34
"S2","iBOIN","Dose 1",32.49
"S2","iBOIN","Dose 2",42.31
"S2","iBOIN","Dose 3",16.71
"S2","iBOIN","Dose 4",2.15
"S3","BOLD","No MTD",0.02
"S3","BOLD","Dose 1",1.26
"S3","BOLD","Dose 2",23.35
"S3","BOLD","Dose 3",50.77
"S3","BOLD","Dose 4",24.6
"S3","BOLD-exp","No MTD",0.02
"S3","BOLD-exp","Dose 1",1.55
"S3","BOLD-exp","Dose 2",22.28
"S3","BOLD-exp","Dose 3",52.27
"S3","BOLD-exp","Dose 4",23.88
"S3","BOIN","No MTD",0.72
"S3","BOIN","Dose 1",7.39
"S3","BOIN","Dose 2",31.09
"S3","BOIN","Dose 3",40.54
"S3","BOIN","Dose 4",20.26
"S3","iBOIN","No MTD",0.72
"S3","iBOIN","Dose 1",7.42
"S3","iBOIN","Dose 2",29.91
"S3","iBOIN","Dose 3",42.77
"S3","iBOIN","Dose 4",19.18
"S4","BOLD","No MTD",0
"S4","BOLD","Dose 1",0.33
"S4","BOLD","Dose 2",6.69
"S4","BOLD","Dose 3",31.1
"S4","BOLD","Dose 4",61.88
"S4","BOLD-exp","No MTD",0.01
"S4","BOLD-exp","Dose 1",0.45
"S4","BOLD-exp","Dose 2",6.91
"S4","BOLD-exp","Dose 3",34.76
"S4","BOLD-exp","Dose 4",57.87
"S4","BOIN","No MTD",0.75
"S4","BOIN","Dose 1",3.38
"S4","BOIN","Dose 2",14.49
"S4","BOIN","Dose 3",31.17
"S4","BOIN","Dose 4",50.21
"S4","iBOIN","No MTD",0.75
"S4","iBOIN","Dose 1",3.38
"S4","iBOIN","Dose 2",14.13
"S4","iBOIN","Dose 3",32.73
"S4","iBOIN","Dose 4",49.01
"S5","BOLD","No MTD",0
"S5","BOLD","Dose 1",0.35
"S5","BOLD","Dose 2",3.7
"S5","BOLD","Dose 3",14.6
"S5","BOLD","Dose 4",81.35
"S5","BOLD-exp","No MTD",0.01
"S5","BOLD-exp","Dose 1",0.43
"S5","BOLD-exp","Dose 2",4.28
"S5","BOLD-exp","Dose 3",20.63
"S5","BOLD-exp","Dose 4",74.65
"S5","BOIN","No MTD",0.68
"S5","BOIN","Dose 1",3.14
"S5","BOIN","Dose 2",8.71
"S5","BOIN","Dose 3",18.1
"S5","BOIN","Dose 4",69.37
"S5","iBOIN","No MTD",0.68
"S5","iBOIN","Dose 1",3.14
"S5","iBOIN","Dose 2",8.54
"S5","iBOIN","Dose 3",18.98
"S5","iBOIN","Dose 4",68.66
"S6","BOLD","No MTD",41.07
"S6","BOLD","Dose 1",49.5
"S6","BOLD","Dose 2",8.27
"S6","BOLD","Dose 3",1.11
"S6","BOLD","Dose 4",0.05
"S6","BOLD-exp","No MTD",43.73
"S6","BOLD-exp","Dose 1",50.1
"S6","BOLD-exp","Dose 2",5.64
"S6","BOLD-exp","Dose 3",0.53
"S6","BOLD-exp","Dose 4",0
"S6","BOIN","No MTD",61.33
"S6","BOIN","Dose 1",35.01
"S6","BOIN","Dose 2",3.42
"S6","BOIN","Dose 3",0.23
"S6","BOIN","Dose 4",0.01
"S6","iBOIN","No MTD",61.33
"S6","iBOIN","Dose 1",35.3
"S6","iBOIN","Dose 2",3.13
"S6","iBOIN","Dose 3",0.23
"S6","iBOIN","Dose 4",0.01
"S7","BOLD","No MTD",0.93
"S7","BOLD","Dose 1",6.26
"S7","BOLD","Dose 2",17.31
"S7","BOLD","Dose 3",28.38
"S7","BOLD","Dose 4",47.12
"S7","BOLD-exp","No MTD",1.1
"S7","BOLD-exp","Dose 1",9.71
"S7","BOLD-exp","Dose 2",21.36
"S7","BOLD-exp","Dose 3",34.83
"S7","BOLD-exp","Dose 4",33
"S7","BOIN","No MTD",6.65
"S7","BOIN","Dose 1",16.9
"S7","BOIN","Dose 2",22.09
"S7","BOIN","Dose 3",24.31
"S7","BOIN","Dose 4",30.05
"S7","iBOIN","No MTD",6.65
"S7","iBOIN","Dose 1",17.25
"S7","iBOIN","Dose 2",21.5
"S7","iBOIN","Dose 3",25.47
"S7","iBOIN","Dose 4",29.13
"S9","BOLD","No MTD",9.66
"S9","BOLD","Dose 1",23.68
"S9","BOLD","Dose 2",18.54
"S9","BOLD","Dose 3",18.53
"S9","BOLD","Dose 4",29.59
"S9","BOLD-exp","No MTD",12.65
"S9","BOLD-exp","Dose 1",37.06
"S9","BOLD-exp","Dose 2",21.06
"S9","BOLD-exp","Dose 3",17.7
"S9","BOLD-exp","Dose 4",11.53
"S9","BOIN","No MTD",26.98
"S9","BOIN","Dose 1",34.14
"S9","BOIN","Dose 2",16.79
"S9","BOIN","Dose 3",11.43
"S9","BOIN","Dose 4",10.66
"S9","iBOIN","No MTD",26.98
"S9","iBOIN","Dose 1",34.91
"S9","iBOIN","Dose 2",16.07
"S9","iBOIN","Dose 3",11.67
"S9","iBOIN","Dose 4",10.37
"S10","BOLD","No MTD",0.02
"S10","BOLD","Dose 1",0.06
"S10","BOLD","Dose 2",0.18
"S10","BOLD","Dose 3",0.7
"S10","BOLD","Dose 4",99.04
"S10","BOLD-exp","No MTD",0.03
"S10","BOLD-exp","Dose 1",0.22
"S10","BOLD-exp","Dose 2",0.39
"S10","BOLD-exp","Dose 3",2.93
"S10","BOLD-exp","Dose 4",96.43
"S10","BOIN","No MTD",0.8
"S10","BOIN","Dose 1",1.21
"S10","BOIN","Dose 2",1.02
"S10","BOIN","Dose 3",2.3
"S10","BOIN","Dose 4",94.67
"S10","iBOIN","No MTD",0.8
"S10","iBOIN","Dose 1",1.22
"S10","iBOIN","Dose 2",1.01
"S10","iBOIN","Dose 3",2.34
"S10","iBOIN","Dose 4",94.63
