figure,scenario,endpoint,rates,category,method,display,percentage,mcse
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",No favored dose,BOIN,46.2 (0.50),46.2,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",No favored dose,iBOIN,54.7 (0.50),54.7,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",No favored dose,BOLD,44.45 (0.50),44.45,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",No favored dose,BOLD-exp,51.23 (0.50),51.23,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 1,BOIN,46.2 (0.50),46.2,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 1,iBOIN,54.9 (0.50),54.9,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 1,BOLD,49.65 (0.50),49.65,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 1,BOLD-exp,58.20 (0.49),58.20,0.49
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 2,BOIN,46.2 (0.50),46.2,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 2,iBOIN,52.3 (0.50),52.3,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 2,BOLD,41.98 (0.49),41.98,0.49
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 2,BOLD-exp,48.81 (0.50),48.81,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 3,BOIN,46.2 (0.50),46.2,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 3,iBOIN,54.7 (0.50),54.7,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 3,BOLD,44.84 (0.50),44.84,0.50
word_01_scenario_1,1,Select Dose 1,"0.30, 0.40, 0.50, 0.60",Favor Dose 3,BOLD-exp,51.23 (0.50),51.23,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",No favored dose,BOIN,43.5 (0.50),43.5,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",No favored dose,iBOIN,47.5 (0.50),47.5,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",No favored dose,BOLD,49.48 (0.50),49.48,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",No favored dose,BOLD-exp,48.89 (0.50),48.89,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 1,BOIN,43.5 (0.50),43.5,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 1,iBOIN,49.4 (0.50),49.4,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 1,BOLD,48.41 (0.50),48.41,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 1,BOLD-exp,48.69 (0.50),48.69,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 2,BOIN,43.5 (0.50),43.5,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 2,iBOIN,53.6 (0.50),53.6,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 2,BOLD,56.01 (0.50),56.01,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 2,BOLD-exp,56.76 (0.50),56.76,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 3,BOIN,43.5 (0.50),43.5,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 3,iBOIN,47.4 (0.50),47.4,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 3,BOLD,47.68 (0.50),47.68,0.50
word_02_scenario_2,2,Select Dose 2,"0.15, 0.30, 0.45, 0.60",Favor Dose 3,BOLD-exp,46.15 (0.50),46.15,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",No favored dose,BOIN,39.7 (0.49),39.7,0.49
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",No favored dose,iBOIN,50.5 (0.50),50.5,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",No favored dose,BOLD,51.10 (0.50),51.10,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",No favored dose,BOLD-exp,51.94 (0.50),51.94,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 1,BOIN,39.7 (0.49),39.7,0.49
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 1,iBOIN,46.5 (0.50),46.5,0.50
word_03_scenario_3,3,Select Dose 3,"0.05, 0.15, 0.30, 0.45",Favor Dose 1,BOLD,49.03 (0.50),49.03,0.50
