"scenario","method","selection","selection_pct"
"<1","BOLD","No MTD",42
"<1","BOLD","Dose 1",42.4
"<1","BOLD","Dose 2",11.6
"<1","BOLD","Dose 3",3.4
"<1","BOLD","Dose 4",0.6
"<1","BOIN","No MTD",61
"<1","BOIN","Dose 1",32.8
"<1","BOIN","Dose 2",4.8
"<1","BOIN","Dose 3",1.2
"<1","BOIN","Dose 4",0.2
"1","BOLD","No MTD",5.6
"1","BOLD","Dose 1",43.8
"1","BOLD","Dose 2",37
"1","BOLD","Dose 3",12.4
"1","BOLD","Dose 4",1.2
"1","BOIN","No MTD",18.2
"1","BOIN","Dose 1",46.4
"1","BOIN","Dose 2",28.8
"1","BOIN","Dose 3",6.2
"1","BOIN","Dose 4",0.4
"2","BOLD","No MTD",0
"2","BOLD","Dose 1",10.2
"2","BOLD","Dose 2",43.8
"2","BOLD","Dose 3",34.8
"2","BOLD","Dose 4",11.2
"2","BOIN","No MTD",1.8
"2","BOIN","Dose 1",21.4
"2","BOIN","Dose 2",48.4
"2","BOIN","Dose 3",21.8
"2","BOIN","Dose 4",6.6
"3","BOLD","No MTD",0
"3","BOLD","Dose 1",0.4
"3","BOLD","Dose 2",10.8
"3","BOLD","Dose 3",48
"3","BOLD","Dose 4",40.8
"3","BOIN","No MTD",1.4
"3","BOIN","Dose 1",4
"3","BOIN","Dose 2",23.8
"3","BOIN","Dose 3",39.6
"3","BOIN","Dose 4",31.2
"4","BOLD","No MTD",0
"4","BOLD","Dose 1",0
"4","BOLD","Dose 2",0.6
"4","BOLD","Dose 3",19.8
"4","BOLD","Dose 4",79.6
"4","BOIN","No MTD",0.6
"4","BOIN","Dose 1",1
"4","BOIN","Dose 2",3.4
"4","BOIN","Dose 3",20.2
"4","BOIN","Dose 4",74.8
">4","BOLD","No MTD",0
">4","BOLD","Dose 1",0
">4","BOLD","Dose 2",0.4
">4","BOLD","Dose 3",5.8
">4","BOLD","Dose 4",93.8
">4","BOIN","No MTD",0
">4","BOIN","Dose 1",1
">4","BOIN","Dose 2",2.8
">4","BOIN","Dose 3",11
">4","BOIN","Dose 4",85.2
