"scenario","method","dose","mean_patients"
"S1","BOLD","Dose 1",6.92
"S1","BOLD","Dose 2",4.93
"S1","BOLD","Dose 3",2.71
"S1","BOLD","Dose 4",1.16
"S1","BOIN","Dose 1",7.62
"S1","BOIN","Dose 2",3.8
"S1","BOIN","Dose 3",0.97
"S1","BOIN","Dose 4",0.11
"S1","iBOIN","Dose 1",7.62
"S1","iBOIN","Dose 2",3.8
"S1","iBOIN","Dose 3",0.97
"S1","iBOIN","Dose 4",0.11
"S2","BOLD","Dose 1",4.69
"S2","BOLD","Dose 2",6.23
"S2","BOLD","Dose 3",4.4
"S2","BOLD","Dose 4",2.22
"S2","BOIN","Dose 1",6.59
"S2","BOIN","Dose 2",6.62
"S2","BOIN","Dose 3",2.74
"S2","BOIN","Dose 4",0.43
"S2","iBOIN","Dose 1",6.59
"S2","iBOIN","Dose 2",6.62
"S2","iBOIN","Dose 3",2.74
"S2","iBOIN","Dose 4",0.43
"S3","BOLD","Dose 1",3.14
"S3","BOLD","Dose 2",4.55
"S3","BOLD","Dose 3",5.36
"S3","BOLD","Dose 4",4.9
"S3","BOIN","Dose 1",4.14
"S3","BOIN","Dose 2",6.34
"S3","BOIN","Dose 3",5.31
"S3","BOIN","Dose 4",1.95
"S3","iBOIN","Dose 1",4.14
"S3","iBOIN","Dose 2",6.34
"S3","iBOIN","Dose 3",5.31
"S3","iBOIN","Dose 4",1.95
"S4","BOLD","Dose 1",3.08
"S4","BOLD","Dose 2",3.53
"S4","BOLD","Dose 3",4.36
"S4","BOLD","Dose 4",7.02
"S4","BOIN","Dose 1",3.83
"S4","BOIN","Dose 2",4.75
"S4","BOIN","Dose 3",5.02
"S4","BOIN","Dose 4",4.05
"S4","iBOIN","Dose 1",3.83
"S4","iBOIN","Dose 2",4.75
"S4","iBOIN","Dose 3",5.02
"S4","iBOIN","Dose 4",4.05
"S5","BOLD","Dose 1",3.16
"S5","BOLD","Dose 2",3.32
"S5","BOLD","Dose 3",3.82
"S5","BOLD","Dose 4",7.68
"S5","BOIN","Dose 1",3.82
"S5","BOIN","Dose 2",4.41
"S5","BOIN","Dose 3",4.48
"S5","BOIN","Dose 4",4.87
"S5","iBOIN","Dose 1",3.82
"S5","iBOIN","Dose 2",4.41
"S5","iBOIN","Dose 3",4.48
"S5","iBOIN","Dose 4",4.87
"S6","BOLD","Dose 1",8.24
"S6","BOLD","Dose 2",3.39
"S6","BOLD","Dose 3",1.24
"S6","BOLD","Dose 4",0.31
"S6","BOIN","Dose 1",7.01
"S6","BOIN","Dose 2",1.45
"S6","BOIN","Dose 3",0.22
"S6","BOIN","Dose 4",0.01
"S6","iBOIN","Dose 1",7.01
"S6","iBOIN","Dose 2",1.45
"S6","iBOIN","Dose 3",0.22
"S6","iBOIN","Dose 4",0.01
"S7","BOLD","Dose 1",3.8
"S7","BOLD","Dose 2",4.04
"S7","BOLD","Dose 3",4.08
"S7","BOLD","Dose 4",5.73
"S7","BOIN","Dose 1",5.56
"S7","BOIN","Dose 2",5.21
"S7","BOIN","Dose 3",3.43
"S7","BOIN","Dose 4",2.19
"S7","iBOIN","Dose 1",5.56
"S7","iBOIN","Dose 2",5.21
"S7","iBOIN","Dose 3",3.43
"S7","iBOIN","Dose 4",2.19
"S9","BOLD","Dose 1",5.72
"S9","BOLD","Dose 2",3.76
"S9","BOLD","Dose 3",2.86
"S9","BOLD","Dose 4",3.69
"S9","BOIN","Dose 1",6.91
"S9","BOIN","Dose 2",3.61
"S9","BOIN","Dose 3",1.59
"S9","BOIN","Dose 4",0.69
"S9","iBOIN","Dose 1",6.91
"S9","iBOIN","Dose 2",3.61
"S9","iBOIN","Dose 3",1.59
"S9","iBOIN","Dose 4",0.69
"S10","BOLD","Dose 1",3.03
"S10","BOLD","Dose 2",3.09
"S10","BOLD","Dose 3",3.04
"S10","BOLD","Dose 4",8.84
"S10","BOIN","Dose 1",3.59
"S10","BOIN","Dose 2",3.57
"S10","BOIN","Dose 3",3.41
"S10","BOIN","Dose 4",7.25
"S10","iBOIN","Dose 1",3.59
"S10","iBOIN","Dose 2",3.57
"S10","iBOIN","Dose 3",3.41
"S10","iBOIN","Dose 4",7.25
