"scenario","method","accuracy_pct","accuracy_mcse_pct","mean_patients","sd_patients","mean_dlts","overdose_pct"
"<1","BOLD",42,2.2,12.4,5.28,6,100
"<1","BOIN",61,2.2,8.9,5.6,4.1,100
"1","BOLD",43.8,2.2,16.45,3.06,6.16,61
"1","BOIN",46.4,2.2,13.91,5.25,4.5,43.7
"2","BOLD",43.8,2.2,17.79,0.77,5.38,45.6
"2","BOIN",48.4,2.2,16.99,2.32,4.13,24.5
"3","BOLD",48,2.2,17.98,0.3,4.19,33.1
"3","BOIN",39.6,2.2,17.64,1.89,3.42,16.7
"4","BOLD",79.6,1.8,17.99,0.13,2.78,0
"4","BOIN",74.8,1.9,17.87,1.22,2.34,0
">4","BOLD",93.8,1.1,18,0,1.75,0
">4","BOIN",85.2,1.6,17.96,0.33,1.78,0
